keypoints
"(1788.6737060546875, 3664.06298828125)"
"(5929.34619140625, 3620.779052734375)"
"(5850.7666015625, 3604.14453125)"
"(5732.033203125, 3579.199951171875)"
"(1778.7110595703125, 3565.7822265625)"
"(1770.8302001953125, 3503.056884765625)"
"(5282.25244140625, 3493.3232421875)"
"(5230.5791015625, 3482.74560546875)"
"(5172.6513671875, 3474.447021484375)"
"(5124.6513671875, 3466.447021484375)"
"(5088.244140625, 3460.73974609375)"
"(4942.57470703125, 3435.302734375)"
"(4754.7666015625, 3404.14453125)"
"(4700.82666015625, 3395.993896484375)"
"(4598.57666015625, 3379.306396484375)"
"(4550.419921875, 3372.76318359375)"
"(4502.5791015625, 3362.74560546875)"
"(4398.57666015625, 3347.306396484375)"
"(4351.8896484375, 3341.653076171875)"
"(4301.98779296875, 3331.6337890625)"
"(1747.334228515625, 3274.1103515625)"
"(3853.662353515625, 3265.736083984375)"
"(3658.25244140625, 3229.3232421875)"
"(3494.02099609375, 3203.619140625)"
"(3458.3427734375, 3199.689697265625)"
"(3206.239013671875, 3157.328857421875)"
"(3106.7666015625, 3140.14453125)"
"(3092.927734375, 3142.010986328125)"
"(1558.83837890625, 2699.5859375)"
"(1473.25, 2668.010498046875)"
"(1457.6666259765625, 2661.3583984375)"
"(1326.4412841796875, 2620.294189453125)"
"(1302.5250244140625, 2611.316650390625)"
"(1178.1624755859375, 2573.255126953125)"
"(1145.459228515625, 2565.32373046875)"
"(905.459716796875, 2492.53125)"
"(858.7666625976562, 2484.14453125)"
"(810.5446166992188, 2476.48095703125)"
"(715.0986328125, 2461.32470703125)"
"(54.03472137451172, 2452.86083984375)"
"(665.941650390625, 2452.189453125)"
"(618.7548828125, 2444.673095703125)"
"(426.76666259765625, 2412.14453125)"
"(412.6081237792969, 2410.510986328125)"
"(5262.63330078125, 1436.2257080078125)"
"(5292.75244140625, 1426.8958740234375)"
"(5322.685546875, 1419.5283203125)"
"(4500.0849609375, 1417.881103515625)"
"(5354.685546875, 1411.5283203125)"
"(5386.685546875, 1403.5283203125)"
"(5418.68701171875, 1395.4676513671875)"
"(5450.685546875, 1387.5283203125)"
"(5485.13330078125, 1378.2127685546875)"
"(5514.6337890625, 1371.269775390625)"
"(5546.71435546875, 1363.3944091796875)"
"(4122.3486328125, 1356.552978515625)"
"(5578.685546875, 1355.5283203125)"
"(5610.685546875, 1347.5283203125)"
"(4060.2333984375, 1346.8555908203125)"
"(5642.6865234375, 1339.3994140625)"
"(5674.685546875, 1331.5283203125)"
"(5706.685546875, 1323.5283203125)"
"(5738.685546875, 1315.5283203125)"
"(5770.685546875, 1307.5283203125)"
"(3812.74755859375, 1305.6767578125)"
"(3768.421142578125, 1300.25439453125)"
"(5802.685546875, 1299.5283203125)"
"(3730.348388671875, 1292.552978515625)"
"(5834.685546875, 1291.5283203125)"
"(5866.685546875, 1283.5283203125)"
"(3670.892822265625, 1280.9046630859375)"
"(3419.845703125, 1239.927734375)"
"(3376.421142578125, 1236.25439453125)"
"(3281.298095703125, 1213.629150390625)"
"(3080.217529296875, 1181.0408935546875)"
"(2936.8857421875, 1164.11669921875)"
"(2901.3173828125, 1153.1785888671875)"
"(2836.2333984375, 1146.8555908203125)"
"(5908.271484375, 1143.3875732421875)"
"(2588.863525390625, 1105.6134033203125)"
"(2544.421142578125, 1100.25439453125)"
"(2506.348388671875, 1092.552978515625)"
"(2444.2333984375, 1082.8555908203125)"
"(2196.74755859375, 1041.6767578125)"
"(2109.609375, 1026.1839599609375)"
"(5931.22705078125, 1013.5035400390625)"
"(2031.77685546875, 1011.669921875)"
"(1901.6314697265625, 986.1968994140625)"
"(1864.242431640625, 979.1060791015625)"
"(1823.7894287109375, 971.6736450195312)"
"(1692.7474365234375, 945.6767578125)"
"(1656.242431640625, 939.1060791015625)"
"(1612.2332763671875, 930.8555297851562)"
"(1448.242431640625, 899.1060791015625)"
"(1412.0799560546875, 891.4933471679688)"
"(1242.9666748046875, 851.7999877929688)"
"(1210.9666748046875, 843.7999877929688)"
"(1178.9666748046875, 835.7999877929688)"
"(1088.1881103515625, 810.6260375976562)"
"(1060.314453125, 803.5283203125)"
"(5966.86865234375, 783.4306640625)"
"(5979.72998046875, 730.4365234375)"
"(754.9666748046875, 723.7999877929688)"
"(635.7391357421875, 691.5362548828125)"
"(5987.02880859375, 687.2427978515625)"
"(602.9666748046875, 683.7999877929688)"
"(512.2476196289062, 659.7333374023438)"
"(483.6082458496094, 651.3087158203125)"
"(420.6140441894531, 634.0292358398438)"
"(404.7716064453125, 626.2036743164062)"
"(390.5083923339844, 618.4920654296875)"
"(222.4102325439453, 530.4483642578125)"
"(913.53955078125, 2517.43603515625)"
"(4039.349853515625, 3309.310791015625)"
"(4045.072998046875, 3295.801025390625)"
"(3548.024658203125, 3223.856201171875)"
"(921.5572509765625, 2508.986328125)"
"(4032.88232421875, 3300.336181640625)"
"(759.0404052734375, 2468.343505859375)"
"(3432.637451171875, 1233.0321044921875)"
"(3235.28662109375, 3171.01416015625)"
"(800.3069458007812, 2530.38330078125)"
"(3385.51904296875, 3193.9677734375)"
"(3958.29541015625, 3284.972412109375)"
"(3373.81982421875, 1224.778076171875)"
"(2650.451904296875, 3430.862060546875)"
"(2654.610107421875, 3422.54931640625)"
"(3219.85107421875, 3170.50390625)"
"(2651.8662109375, 3458.404541015625)"
"(2644.003173828125, 3447.945068359375)"
"(4682.31787109375, 3406.70068359375)"
"(4489.33349609375, 3372.416015625)"
"(3251.31787109375, 3175.1484375)"
"(3450.13134765625, 1238.2744140625)"
"(4057.04736328125, 3303.916259765625)"
"(4014.851318359375, 3296.66015625)"
"(3315.88671875, 1216.8216552734375)"
"(3160.216796875, 1192.5963134765625)"
"(2654.861328125, 3447.62060546875)"
"(4090.37255859375, 3308.686279296875)"
"(3781.59765625, 3253.61474609375)"
"(3332.53759765625, 3195.465576171875)"
"(1076.325439453125, 2553.2470703125)"
"(2649.103515625, 3410.257568359375)"
"(3501.900146484375, 3212.442626953125)"
"(2859.40966796875, 1133.2777099609375)"
"(2647.627197265625, 3392.214111328125)"
"(3963.30322265625, 3290.065185546875)"
"(3405.849609375, 1230.5648193359375)"
"(3778.2919921875, 3251.842529296875)"
"(3429.259521484375, 3201.9013671875)"
"(3392.30224609375, 1229.4766845703125)"
"(4459.03515625, 3371.328125)"
"(2646.607421875, 3479.314697265625)"
"(3928.275390625, 3279.052734375)"
"(3688.23291015625, 3246.91357421875)"
"(3393.864501953125, 3194.139404296875)"
"(4663.7177734375, 3400.746337890625)"
"(899.151123046875, 2503.10791015625)"
"(3444.92041015625, 1232.001220703125)"
"(2649.905029296875, 3379.45947265625)"
"(4121.10302734375, 3310.124267578125)"
"(3867.585205078125, 3271.7275390625)"
"(3581.119873046875, 3224.32421875)"
"(3562.01416015625, 3225.9677734375)"
"(3295.305908203125, 3180.5791015625)"
"(3352.811767578125, 1223.7330322265625)"
"(2863.04541015625, 1139.96826171875)"
"(2759.664794921875, 1126.5322265625)"
"(4954.70703125, 3442.719970703125)"
"(2663.93310546875, 3424.500732421875)"
"(990.603271484375, 2517.30126953125)"
"(881.188232421875, 2498.7861328125)"
"(4041.633056640625, 3379.318603515625)"
"(3990.922607421875, 3293.97900390625)"
"(3978.078857421875, 3286.964111328125)"
"(3786.645751953125, 3259.242431640625)"
"(3480.023193359375, 3212.98828125)"
"(3406.07177734375, 3207.3076171875)"
"(2664.146240234375, 1110.3388671875)"
"(2660.303955078125, 3387.740966796875)"
"(4020.598876953125, 3303.88916015625)"
"(3330.36865234375, 1217.788330078125)"
"(4054.272216796875, 3312.633544921875)"
"(3885.09130859375, 3270.980224609375)"
"(3899.7783203125, 3273.071044921875)"
"(3838.30615234375, 3262.154541015625)"
"(1111.7960205078125, 2564.324462890625)"
