keypoints
"(1788.23388671875, 3664.1474609375)"
"(5929.52880859375, 3620.8974609375)"
"(5850.7666015625, 3604.14453125)"
"(5732.033203125, 3579.199951171875)"
"(1778.7110595703125, 3565.7822265625)"
"(1771.2451171875, 3503.11767578125)"
"(5282.25244140625, 3493.3232421875)"
"(5230.5791015625, 3482.74560546875)"
"(5172.6513671875, 3474.447021484375)"
"(5125.6201171875, 3467.06494140625)"
"(5089.09619140625, 3461.47314453125)"
"(4756.95068359375, 3408.871826171875)"
"(4701.875, 3395.2314453125)"
"(4598.57666015625, 3379.306396484375)"
"(4550.869140625, 3372.693359375)"
"(4502.5791015625, 3362.74560546875)"
"(4398.47314453125, 3347.407470703125)"
"(4353.98681640625, 3343.0751953125)"
"(4302.5791015625, 3330.74560546875)"
"(1747.3316650390625, 3274.257080078125)"
"(3856.049560546875, 3263.7822265625)"
"(3658.25244140625, 3229.3232421875)"
"(3493.93994140625, 3203.511962890625)"
"(3458.466064453125, 3199.533203125)"
"(3295.49267578125, 3178.983154296875)"
"(3208.310546875, 3156.900634765625)"
"(3105.137451171875, 3142.7724609375)"
"(3092.836669921875, 3141.38525390625)"
"(1558.83837890625, 2699.5859375)"
"(1473.25830078125, 2668.883544921875)"
"(1457.6666259765625, 2661.3583984375)"
"(1326.888916015625, 2619.4443359375)"
"(1302.09423828125, 2613.024658203125)"
"(1175.4140625, 2573.5)"
"(1142.6859130859375, 2568.167236328125)"
"(1109.6278076171875, 2566.11962890625)"
"(906.7666625976562, 2492.14453125)"
"(855.6637573242188, 2489.16064453125)"
"(768.3993530273438, 2484.479736328125)"
"(810.4094848632812, 2476.759765625)"
"(716.3609008789062, 2466.1728515625)"
"(53.894554138183594, 2452.931884765625)"
"(563.1122436523438, 2447.326416015625)"
"(617.7894287109375, 2447.31298828125)"
"(426.76666259765625, 2412.14453125)"
"(412.6515197753906, 2410.447021484375)"
"(5263.36669921875, 1433.9840087890625)"
"(5290.685546875, 1427.5283203125)"
"(5322.685546875, 1419.5283203125)"
"(4500.2001953125, 1418.307861328125)"
"(5354.509765625, 1411.2960205078125)"
"(5389.1337890625, 1402.0966796875)"
"(5419.22705078125, 1392.787841796875)"
"(5450.685546875, 1387.5283203125)"
"(5481.841796875, 1377.5198974609375)"
"(5514.67138671875, 1371.3546142578125)"
"(5546.685546875, 1363.5283203125)"
"(4122.73828125, 1356.0567626953125)"
"(5578.685546875, 1355.5283203125)"
"(5610.685546875, 1347.5283203125)"
"(4060.2333984375, 1346.8555908203125)"
"(5641.751953125, 1338.76171875)"
"(5672.19091796875, 1327.765380859375)"
"(5706.685546875, 1323.5283203125)"
"(5738.685546875, 1315.5283203125)"
"(5770.685546875, 1307.5283203125)"
"(3812.70751953125, 1305.2373046875)"
"(3768.421142578125, 1300.25439453125)"
"(5802.685546875, 1299.5283203125)"
"(3731.64404296875, 1290.864013671875)"
"(5834.685546875, 1291.5283203125)"
"(5866.685546875, 1283.5283203125)"
"(3673.09912109375, 1278.9320068359375)"
"(3420.74755859375, 1241.6767578125)"
"(3376.1943359375, 1236.006591796875)"
"(3279.013671875, 1216.3206787109375)"
"(3079.668212890625, 1184.47021484375)"
"(2936.421142578125, 1164.25439453125)"
"(2900.743896484375, 1152.9130859375)"
"(2836.2333984375, 1146.8555908203125)"
"(5908.271484375, 1143.3875732421875)"
"(2588.5244140625, 1102.373046875)"
"(2544.421142578125, 1100.25439453125)"
"(2506.348388671875, 1092.552978515625)"
"(2444.2333984375, 1082.8555908203125)"
"(2196.74755859375, 1041.6767578125)"
"(2109.35986328125, 1026.091064453125)"
"(5931.22705078125, 1013.5035400390625)"
