keypoints
"(1279.651611328125, 3972.45458984375)"
"(1231.1640625, 3960.824462890625)"
"(1409.02880859375, 3890.05810546875)"
"(3219.44970703125, 3838.8876953125)"
"(1234.21875, 3805.360595703125)"
"(1277.34228515625, 3787.487548828125)"
"(1738.4464111328125, 3779.58642578125)"
"(1283.8162841796875, 3755.820068359375)"
"(1379.8072509765625, 3690.406494140625)"
"(1788.69921875, 3664.07080078125)"
"(1131.6224365234375, 3632.36572265625)"
"(5929.90185546875, 3621.65625)"
"(5850.7666015625, 3604.14453125)"
"(5732.033203125, 3579.199951171875)"
"(1778.7110595703125, 3565.7822265625)"
"(1148.674560546875, 3559.231201171875)"
"(984.5669555664062, 3518.846435546875)"
"(1768.46142578125, 3502.80712890625)"
"(5282.25244140625, 3493.3232421875)"
"(1314.789794921875, 3486.55322265625)"
"(5230.5791015625, 3482.74560546875)"
"(5172.6513671875, 3474.447021484375)"
"(5124.6513671875, 3466.447021484375)"
"(4942.57666015625, 3435.306396484375)"
"(4354.7666015625, 3340.14453125)"
"(2849.254150390625, 3295.54296875)"
"(3967.91064453125, 3293.843017578125)"
"(1747.262939453125, 3276.559326171875)"
"(1501.8585205078125, 3250.40966796875)"
"(3550.634033203125, 3220.547607421875)"
"(3106.7666015625, 3140.14453125)"
"(3092.651611328125, 3138.447021484375)"
"(1558.83837890625, 2699.5859375)"
"(1473.25, 2668.010498046875)"
"(1457.6666259765625, 2661.3583984375)"
"(1326.888916015625, 2619.4443359375)"
"(1302.5250244140625, 2611.316650390625)"
"(1178.2525634765625, 2573.3232421875)"
"(1146.9200439453125, 2563.506591796875)"
"(869.07763671875, 2555.711181640625)"
"(833.7485961914062, 2503.12744140625)"
"(801.2280883789062, 2502.630126953125)"
"(906.7666625976562, 2492.14453125)"
"(810.7666625976562, 2476.14453125)"
"(762.7666625976562, 2468.14453125)"
"(715.8600463867188, 2461.524658203125)"
"(53.92683410644531, 2452.91552734375)"
"(666.7666625976562, 2452.14453125)"
"(618.7666625976562, 2444.14453125)"
"(426.76666259765625, 2412.14453125)"
"(413.7872619628906, 2412.112060546875)"
"(5290.685546875, 1427.5283203125)"
"(5322.685546875, 1419.5283203125)"
"(4499.2822265625, 1414.248291015625)"
"(5418.7109375, 1395.2869873046875)"
"(5450.685546875, 1387.5283203125)"
"(5481.8876953125, 1376.464111328125)"
"(5514.685546875, 1371.5283203125)"
"(5546.63427734375, 1363.4918212890625)"
"(5610.685546875, 1347.5283203125)"
"(4060.2333984375, 1346.8555908203125)"
"(5642.685546875, 1339.5283203125)"
"(5674.685546875, 1331.5283203125)"
"(5706.685546875, 1323.5283203125)"
"(5738.685546875, 1315.5283203125)"
"(5770.685546875, 1307.5283203125)"
"(3871.72705078125, 1307.2518310546875)"
"(5802.685546875, 1299.5283203125)"
"(5834.685546875, 1291.5283203125)"
"(5862.513671875, 1281.97705078125)"
"(2936.488525390625, 1164.125244140625)"
"(2942.205810546875, 1153.8563232421875)"
"(5908.271484375, 1143.3875732421875)"
"(2444.2333984375, 1082.8555908203125)"
"(2196.74755859375, 1041.6767578125)"
"(5931.22705078125, 1013.5035400390625)"
"(2031.89501953125, 1011.697998046875)"
"(1901.6575927734375, 986.2122802734375)"
"(1864.242431640625, 979.1060791015625)"
"(1823.78466796875, 971.672607421875)"
"(1692.7474365234375, 945.6767578125)"
"(1656.242431640625, 939.1060791015625)"
"(1612.2332763671875, 930.8555297851562)"
"(1448.242431640625, 899.1060791015625)"
"(1412.0799560546875, 891.4933471679688)"
"(1242.9666748046875, 851.7999877929688)"
"(1210.9666748046875, 843.7999877929688)"
"(1178.9666748046875, 835.7999877929688)"
"(1088.24755859375, 811.7333374023438)"
"(1060.314453125, 803.5283203125)"
