keypoints
"(374.7059020996094, 3979.73828125)"
"(736.8646240234375, 3976.10400390625)"
"(506.3522033691406, 3968.324462890625)"
"(824.0371704101562, 3960.465087890625)"
"(249.37283325195312, 3954.84912109375)"
"(432.9648132324219, 3954.154541015625)"
"(758.4959716796875, 3944.10009765625)"
"(176.8002471923828, 3940.975341796875)"
"(150.98268127441406, 3935.306396484375)"
"(739.70654296875, 3932.3720703125)"
"(684.5095825195312, 3927.2294921875)"
"(308.97210693359375, 3927.156005859375)"
"(2551.84912109375, 3925.507080078125)"
"(547.0107421875, 3898.548828125)"
"(504.98822021484375, 3886.608154296875)"
"(623.9569091796875, 3880.5517578125)"
"(4239.5654296875, 3876.796630859375)"
"(4221.2548828125, 3875.421630859375)"
"(424.5495910644531, 3872.13134765625)"
"(783.7638549804688, 3867.66015625)"
"(974.7197265625, 3864.350830078125)"
"(557.1409301757812, 3861.650634765625)"
"(147.6930389404297, 3855.466552734375)"
"(705.5358276367188, 3854.6376953125)"
"(4058.7666015625, 3852.14453125)"
"(884.0108032226562, 3842.2333984375)"
"(70.1216049194336, 3839.487548828125)"
"(815.040771484375, 3830.75732421875)"
"(765.3345336914062, 3822.052001953125)"
"(1779.066650390625, 3815.64453125)"
"(338.0502624511719, 3814.900146484375)"
"(869.7052001953125, 3800.8115234375)"
"(3629.68603515625, 3796.38427734375)"
"(58.895729064941406, 3797.3818359375)"
"(3625.04833984375, 3796.542724609375)"
"(1203.9708251953125, 3793.033447265625)"
"(973.0780639648438, 3788.129150390625)"
"(570.5985717773438, 3787.329345703125)"
"(419.84344482421875, 3784.998046875)"
"(371.9232177734375, 3779.561279296875)"
"(346.1980285644531, 3779.28466796875)"
"(3447.509033203125, 3772.784912109375)"
"(3429.08251953125, 3774.997802734375)"
"(720.9028930664062, 3772.73876953125)"
"(5772.2333984375, 3770.85546875)"
"(500.06097412109375, 3764.89794921875)"
"(3386.4208984375, 3769.447265625)"
"(647.7526245117188, 3759.908935546875)"
"(1034.8177490234375, 3754.8525390625)"
