keypoints
"(2979.21728515625, 3988.04345703125)"
"(2539.258056640625, 3988.25390625)"
"(4239.96533203125, 3988.3388671875)"
"(2500.546875, 3980.345458984375)"
"(4363.4892578125, 3966.572021484375)"
"(2582.947021484375, 3966.218505859375)"
"(5559.6201171875, 3958.40625)"
"(2544.27392578125, 3955.7412109375)"
"(305.02490234375, 3951.427490234375)"
"(3392.88623046875, 3947.830322265625)"
"(3632.867919921875, 3945.41552734375)"
"(2861.316162109375, 3941.7998046875)"
"(3314.9814453125, 3934.8291015625)"
"(2546.534423828125, 3928.587158203125)"
"(3920.88134765625, 3927.35205078125)"
"(5310.15234375, 3920.5546875)"
"(3154.900390625, 3914.109619140625)"
"(2866.250244140625, 3909.854248046875)"
"(3924.697509765625, 3902.833251953125)"
"(2393.881591796875, 3900.35693359375)"
"(3643.671142578125, 3893.330322265625)"
"(2552.609619140625, 3894.38623046875)"
"(5774.365234375, 3887.172607421875)"
"(5899.279296875, 3887.12109375)"
"(2512.6611328125, 3890.31005859375)"
"(3358.760009765625, 3886.972900390625)"
"(2909.102783203125, 3886.08447265625)"
"(5439.9833984375, 3888.718994140625)"
"(5607.8271484375, 3885.006591796875)"
"(3158.517333984375, 3884.444580078125)"
"(3564.232177734375, 3886.16943359375)"
"(2671.444580078125, 3882.842041015625)"
"(4330.3583984375, 3881.4580078125)"
"(4737.2314453125, 3879.370361328125)"
"(2866.635009765625, 3881.48388671875)"
"(2830.4775390625, 3872.7412109375)"
"(4457.71484375, 3870.476318359375)"
"(2558.30810546875, 3867.57763671875)"
"(2911.118408203125, 3857.908935546875)"
"(3163.14794921875, 3855.62158203125)"
"(3892.720947265625, 3844.75146484375)"
"(4460.94287109375, 3839.3359375)"
"(2542.737060546875, 3842.177978515625)"
"(2657.6171875, 3837.3984375)"
"(2561.205810546875, 3836.3408203125)"
"(4415.8134765625, 3834.64794921875)"
"(3328.358642578125, 3831.429931640625)"
"(3771.643798828125, 3828.658447265625)"
"(2546.880859375, 3814.345458984375)"
"(2871.433837890625, 3817.263671875)"
"(3894.8916015625, 3813.0107421875)"
"(3856.3935546875, 3813.29150390625)"
"(2704.491943359375, 3810.88037109375)"
"(2606.227294921875, 3813.37548828125)"
"(4427.7578125, 3806.6142578125)"
"(2565.934814453125, 3806.090576171875)"
"(3207.587158203125, 3801.762451171875)"
"(3778.088623046875, 3798.417724609375)"
"(3491.477294921875, 3796.375732421875)"
"(3171.280517578125, 3793.31201171875)"
"(2915.98681640625, 3794.01318359375)"
"(3860.8388671875, 3785.4853515625)"
"(3092.394775390625, 3783.13037109375)"
"(2924.36376953125, 3767.817138671875)"
"(3586.524658203125, 3763.485595703125)"
"(3860.005615234375, 3757.276611328125)"
"(2879.745849609375, 3757.035888671875)"
"(2554.41943359375, 3753.3271484375)"
"(4309.197265625, 3745.725341796875)"
"(4543.134765625, 3744.7158203125)"
"(5909.96826171875, 3745.370849609375)"
"(2571.9560546875, 3744.524658203125)"
"(3296.902099609375, 3742.7158203125)"
"(3256.019287109375, 3738.4970703125)"
"(3704.656005859375, 3735.572265625)"
"(4268.53857421875, 3734.84130859375)"
"(2493.4111328125, 3733.83642578125)"
"(3179.715087890625, 3731.113525390625)"
"(2886.55859375, 3726.641845703125)"
"(2559.30126953125, 3722.056396484375)"
"(3301.028564453125, 3716.98291015625)"
"(4474.75439453125, 3710.197265625)"
"(3907.824951171875, 3709.531982421875)"
"(5659.37646484375, 3706.3349609375)"
"(5784.34130859375, 3702.02978515625)"
"(4432.9736328125, 3702.996826171875)"
"(3830.104248046875, 3701.677490234375)"
"(3183.251220703125, 3699.48681640625)"
"(3586.8623046875, 3698.081787109375)"
"(4354.7919921875, 3698.26611328125)"
"(3382.094482421875, 3696.85205078125)"
"(2889.604736328125, 3694.591796875)"
"(4548.85009765625, 3690.78759765625)"
"(2562.423828125, 3692.33056640625)"
"(5700.7275390625, 3690.98388671875)"
"(2658.902099609375, 3693.37890625)"
"(2582.078125, 3684.769287109375)"
"(4473.8046875, 3680.006591796875)"
"(3666.8310546875, 3677.440673828125)"
"(2501.987548828125, 3672.2548828125)"
"(3188.659423828125, 3670.87890625)"
