keypoints
"(5219.17724609375, 3990.97412109375)"
"(16.677148818969727, 3984.3408203125)"
"(3588.530517578125, 3990.611328125)"
"(1052.698974609375, 3989.061279296875)"
"(766.1266479492188, 3986.254150390625)"
"(2979.600341796875, 3985.4814453125)"
"(4034.5263671875, 3986.916748046875)"
"(3754.26953125, 3984.33837890625)"
"(3673.58349609375, 3981.260498046875)"
"(3552.873046875, 3986.808837890625)"
"(1168.9068603515625, 3984.677734375)"
"(4525.9501953125, 3981.37158203125)"
"(2540.42724609375, 3985.4794921875)"
"(4276.6904296875, 3982.016357421875)"
"(4159.439453125, 3978.24609375)"
"(5779.3857421875, 3974.60302734375)"
"(4200.330078125, 3982.825439453125)"
"(2502.33349609375, 3979.410400390625)"
"(4237.02392578125, 3984.1162109375)"
"(3914.644287109375, 3979.638427734375)"
"(4484.47216796875, 3976.234619140625)"
"(4121.982421875, 3973.216552734375)"
"(3634.12548828125, 3970.939208984375)"
"(1292.9744873046875, 3966.9033203125)"
"(675.9125366210938, 3964.45751953125)"
"(4080.548583984375, 3967.396240234375)"
"(2583.80078125, 3963.2509765625)"
"(4402.40771484375, 3968.116943359375)"
"(3799.37939453125, 3961.7099609375)"
"(3593.6337890625, 3965.38232421875)"
"(4039.354248046875, 3961.806396484375)"
"(3955.7294921875, 3958.813720703125)"
"(1106.4906005859375, 3958.326416015625)"
"(3272.02099609375, 3959.160888671875)"
"(4322.59912109375, 3961.458251953125)"
"(3552.82275390625, 3960.697265625)"
"(4525.41162109375, 3956.533203125)"
"(1048.8077392578125, 3954.7060546875)"
"(3757.510986328125, 3956.962158203125)"
"(799.1583251953125, 3949.43798828125)"
"(3717.574951171875, 3950.24462890625)"
"(2545.733642578125, 3953.9453125)"
"(4445.80859375, 3948.403076171875)"
"(2505.12939453125, 3948.962890625)"
"(3233.74853515625, 3948.544189453125)"
"(4161.1318359375, 3951.547607421875)"
"(3880.154296875, 3948.523681640625)"
"(5310.521484375, 3945.488525390625)"
"(3920.895751953125, 3947.83349609375)"
"(5128.22314453125, 3942.65087890625)"
"(3153.591796875, 3942.906005859375)"
"(5467.59423828125, 3942.75)"
"(3678.947021484375, 3944.604248046875)"
"(3633.667724609375, 3944.13232421875)"
"(1008.3312377929688, 3939.7890625)"
"(5054.34228515625, 3943.706787109375)"
"(4083.515869140625, 3943.52099609375)"
"(3392.85791015625, 3944.832763671875)"
"(2862.92041015625, 3939.949462890625)"
"(4404.26318359375, 3940.984619140625)"
"(3596.487060546875, 3938.042236328125)"
"(4122.30810546875, 3940.80078125)"
"(3841.032958984375, 3941.391845703125)"
"(1114.493408203125, 3936.57763671875)"
"(3999.378173828125, 3933.363037109375)"
"(3556.785888671875, 3936.390625)"
"(5386.52783203125, 3932.2626953125)"
"(4040.888427734375, 3936.989990234375)"
"(3525.0361328125, 3931.997802734375)"
"(1070.5068359375, 3927.456298828125)"
"(5563.43701171875, 3925.457275390625)"
"(4205.4443359375, 3928.7744140625)"
"(2548.32470703125, 3926.167724609375)"
"(835.134765625, 3926.8837890625)"
"(4732.072265625, 3929.501220703125)"
"(5515.14404296875, 3922.89892578125)"
"(3719.591796875, 3925.459716796875)"
"(5104.37158203125, 3919.086181640625)"
"(1136.9588623046875, 3922.4375)"
"(304.5461730957031, 3915.388671875)"
"(5677.123046875, 3920.52294921875)"
"(3920.494140625, 3924.239990234375)"
"(1111.572265625, 3920.06884765625)"
"(825.9717407226562, 3919.19775390625)"
"(5308.93115234375, 3919.95849609375)"
"(4691.56298828125, 3922.310546875)"
"(4647.89404296875, 3918.21630859375)"
"(4125.5869140625, 3920.562744140625)"
"(3679.824462890625, 3918.488525390625)"
"(591.492919921875, 3916.3388671875)"
"(3637.6640625, 3914.02392578125)"
"(2908.26513671875, 3915.140625)"
"(3846.399169921875, 3915.62353515625)"
"(1063.7078857421875, 3912.101806640625)"
"(3597.33203125, 3911.788330078125)"
"(1084.9085693359375, 3915.62841796875)"
"(5427.095703125, 3908.830078125)"
"(5016.85302734375, 3911.369384765625)"
"(3156.176513671875, 3912.3642578125)"
"(4825.4833984375, 3909.599853515625)"
"(4086.047119140625, 3913.418701171875)"
"(3804.68994140625, 3908.660400390625)"
"(3355.936279296875, 3906.809814453125)"
"(2868.257080078125, 3908.12451171875)"
"(4000.525390625, 3907.375244140625)"
"(3962.755615234375, 3903.11865234375)"
"(3559.4931640625, 3909.173828125)"
"(5597.22607421875, 3905.80859375)"
"(5143.23486328125, 3902.48193359375)"
"(3762.547607421875, 3905.614501953125)"
"(4528.56591796875, 3902.061767578125)"
"(3117.666015625, 3903.64208984375)"
"(989.61669921875, 3901.576904296875)"
"(1156.678955078125, 3901.43310546875)"
