id,num,img,position
0,3,DSC07279,"(5192.083984375, 1327.5809326171875)",DSC07280,"(5042.18701171875, 2639.714599609375)",DSC07281,"(4781.16845703125, 3949.815673828125)"
1,3,DSC07279,"(5439.09716796875, 1170.7626953125)",DSC07280,"(5300.51611328125, 2487.25927734375)",DSC07281,"(5044.056640625, 3798.12646484375)"
2,3,DSC07279,"(5485.7265625, 1139.0499267578125)",DSC07280,"(5349.44384765625, 2455.13720703125)",DSC07281,"(5090.87255859375, 3764.725830078125)"
3,3,DSC07279,"(5679.48876953125, 1124.5106201171875)",DSC07280,"(5545.35693359375, 2446.584228515625)",DSC07281,"(5290.7685546875, 3759.29443359375)"
4,3,DSC07279,"(5653.38720703125, 1004.8055419921875)",DSC07280,"(5526.36279296875, 2324.29931640625)",DSC07281,"(5272.39208984375, 3635.516845703125)"
5,3,DSC07279,"(5695.58837890625, 932.4083251953125)",DSC07280,"(5572.423828125, 2249.355224609375)",DSC07281,"(5321.2939453125, 3559.642333984375)"
6,3,DSC07279,"(5424.1611328125, 911.3865356445312)",DSC07280,"(5301.353515625, 2217.210205078125)",DSC07281,"(5046.3349609375, 3525.4189453125)"
7,3,DSC07279,"(5701.26806640625, 896.4034423828125)",DSC07280,"(5580.345703125, 2212.16259765625)",DSC07281,"(5328.27197265625, 3521.303955078125)"
8,3,DSC07279,"(5515.3349609375, 845.688720703125)",DSC07280,"(5393.466796875, 2151.458251953125)",DSC07281,"(5142.240234375, 3459.3857421875)"
9,3,DSC07279,"(5518.08447265625, 760.582763671875)",DSC07280,"(5401.0673828125, 2064.447998046875)",DSC07281,"(5150.4365234375, 3370.08349609375)"
10,3,DSC07279,"(5517.23876953125, 725.5167236328125)",DSC07280,"(5404.58447265625, 2027.9742431640625)",DSC07281,"(5152.94873046875, 3332.070068359375)"
11,1,DSC07279,"(5454.87255859375, 567.0147705078125)"
12,1,DSC07279,"(3116.1201171875, 568.6133422851562)"
13,1,DSC07279,"(5660.9453125, 503.4836730957031)"
14,1,DSC07279,"(5495.29248046875, 491.498046875)"
15,3,DSC07279,"(3139.269775390625, 468.5635070800781)",DSC07280,"(2999.99169921875, 1673.3427734375)",DSC07281,"(2741.8515625, 2955.411376953125)"
16,1,DSC07279,"(3164.50341796875, 365.83673095703125)"
17,1,DSC07279,"(5391.0693359375, 273.4627990722656)"
18,1,DSC07279,"(3217.918701171875, 248.7154541015625)"
19,3,DSC07279,"(4920.091796875, 223.6989288330078)",DSC07280,"(4824.54931640625, 1480.706298828125)",DSC07281,"(4581.158203125, 2774.843505859375)"
20,1,DSC07279,"(5213.2548828125, 203.2941131591797)"
21,3,DSC07279,"(4731.583984375, 196.5588836669922)",DSC07280,"(4635.18359375, 1444.83447265625)",DSC07281,"(4390.58935546875, 2738.8251953125)"
22,1,DSC07279,"(4979.5400390625, 180.9510040283203)"
23,3,DSC07279,"(3252.736328125, 173.44186401367188)",DSC07280,"(3130.6083984375, 1370.757080078125)",DSC07281,"(2874.666748046875, 2645.7724609375)"
24,1,DSC07279,"(4749.2548828125, 155.2941131591797)"
25,2,DSC07279,"(5859.1376953125, 1425.1705322265625)",DSC07280,"(5712.765625, 2764.269287109375)"
26,2,DSC07279,"(5941.12060546875, 1383.16552734375)",DSC07280,"(5795.97802734375, 2726.125)"
27,2,DSC07279,"(5666.607421875, 1353.9356689453125)",DSC07280,"(5520.99462890625, 2682.606201171875)"
28,3,DSC07279,"(5631.39208984375, 1347.0885009765625)",DSC07280,"(5483.65869140625, 2675.89990234375)",DSC07281,"(5228.55615234375, 3991.537353515625)"
29,3,DSC07279,"(5669.69873046875, 1316.30908203125)",DSC07280,"(5525.7001953125, 2644.236572265625)",DSC07281,"(5270.07861328125, 3959.451904296875)"
30,3,DSC07279,"(5628.16064453125, 1309.1273193359375)",DSC07280,"(5484.66064453125, 2634.198486328125)",DSC07281,"(5228.65185546875, 3948.944580078125)"
31,3,DSC07279,"(5705.41845703125, 1307.058837890625)",DSC07280,"(5563.83203125, 2634.822509765625)",DSC07281,"(5309.41748046875, 3952.25048828125)"
32,3,DSC07279,"(5583.93994140625, 1301.8824462890625)",DSC07280,"(5440.49072265625, 2625.920654296875)",DSC07281,"(5185.01904296875, 3940.1650390625)"
33,2,DSC07279,"(5790.453125, 1291.7626953125)",DSC07280,"(5648.55712890625, 2623.17822265625)"
34,3,DSC07279,"(5669.73388671875, 1277.2620849609375)",DSC07280,"(5528.62109375, 2604.40673828125)",DSC07281,"(5274.48779296875, 3920.594970703125)"
35,3,DSC07279,"(5155.6416015625, 1266.5341796875)",DSC07280,"(5007.30322265625, 2575.333984375)",DSC07281,"(4746.3955078125, 3883.120361328125)"
36,3,DSC07279,"(5472.62158203125, 1254.9996337890625)",DSC07280,"(5329.26123046875, 2574.64697265625)",DSC07281,"(5072.02880859375, 3883.58154296875)"
37,3,DSC07279,"(5428.90185546875, 1248.637939453125)",DSC07280,"(5287.29541015625, 2567.00439453125)",DSC07281,"(5028.15185546875, 3877.60400390625)"
