keypoints
"(1011.8231811523438, 3990.75537109375)"
"(833.8269653320312, 3986.201904296875)"
"(4983.82568359375, 3980.3154296875)"
"(1227.0859375, 3991.45556640625)"
"(519.5346069335938, 3972.298095703125)"
"(133.76840209960938, 3970.302734375)"
"(112.04882049560547, 3970.700927734375)"
"(1126.9656982421875, 3967.281982421875)"
"(892.6571655273438, 3962.341796875)"
"(713.5171508789062, 3961.990478515625)"
"(844.4384155273438, 3955.482177734375)"
"(431.1501770019531, 3952.85107421875)"
"(1257.0623779296875, 3956.780029296875)"
"(1050.86767578125, 3950.6201171875)"
"(1208.1392822265625, 3947.225341796875)"
"(164.97698974609375, 3942.385986328125)"
"(561.7627563476562, 3940.40673828125)"
"(194.35208129882812, 3940.821533203125)"
"(1184.330810546875, 3938.57470703125)"
"(951.373046875, 3935.529541015625)"
"(330.4452209472656, 3925.849365234375)"
"(1110.4793701171875, 3924.54052734375)"
"(690.2040405273438, 3923.673583984375)"
"(305.47900390625, 3923.34521484375)"
"(1085.3216552734375, 3921.22021484375)"
"(1240.458984375, 3915.3203125)"
"(1058.5692138671875, 3914.12109375)"
"(412.87542724609375, 3906.431396484375)"
"(1216.424072265625, 3904.7373046875)"
"(1036.469482421875, 3906.70361328125)"
"(828.8182983398438, 3904.218017578125)"
"(983.1409301757812, 3896.77587890625)"
"(1164.557373046875, 3897.33349609375)"
"(960.3246459960938, 3894.214599609375)"
"(774.990234375, 3896.289306640625)"
"(362.14117431640625, 3893.12451171875)"
"(341.5699768066406, 3892.563720703125)"
"(3980.2333984375, 3890.85546875)"
"(935.599609375, 3888.177490234375)"
"(725.3983154296875, 3885.010009765625)"
"(908.8084716796875, 3882.4765625)"
"(705.1146850585938, 3882.4365234375)"
"(3898.348388671875, 3876.552978515625)"
"(1272.3609619140625, 3878.3544921875)"
"(475.016845703125, 3876.759521484375)"
"(1248.47021484375, 3872.53759765625)"
"(1066.0533447265625, 3872.96533203125)"
"(624.6165161132812, 3874.146484375)"
"(3838.230224609375, 3866.54931640625)"
"(1041.1524658203125, 3869.59375)"
"(243.12403869628906, 3866.74951171875)"
"(1222.0859375, 3869.139404296875)"
"(600.3690795898438, 3868.601806640625)"
"(1017.679931640625, 3864.516357421875)"
"(579.1051025390625, 3863.542236328125)"
"(394.4408874511719, 3862.424072265625)"
"(1173.811767578125, 3856.470703125)"
"(547.5963745117188, 3856.07177734375)"
"(780.8848876953125, 3855.82958984375)"
"(1325.9659423828125, 3853.41748046875)"
"(737.5232543945312, 3849.4921875)"
"(946.4583740234375, 3847.26904296875)"
"(1121.1458740234375, 3844.081787109375)"
"(1273.569580078125, 3842.64501953125)"
"(892.7371215820312, 3842.46630859375)"
"(1098.4371337890625, 3840.6044921875)"
"(479.0887756347656, 3841.22900390625)"
"(870.9059448242188, 3839.26611328125)"
"(663.7012939453125, 3836.173095703125)"
"(455.9549865722656, 3834.882080078125)"
"(1255.0479736328125, 3835.8662109375)"
"(1073.187255859375, 3832.591552734375)"
"(427.8553466796875, 3830.119873046875)"
"(3604.2333984375, 3826.85546875)"
"(1230.0899658203125, 3828.6337890625)"
"(1027.98291015625, 3823.808349609375)"
"(407.360595703125, 3824.43603515625)"
"(1206.108642578125, 3823.732421875)"
"(790.7634887695312, 3817.971923828125)"
"(1180.6510009765625, 3816.544921875)"
"(146.185791015625, 3809.70703125)"
"(3512.421142578125, 3812.25439453125)"
"(977.9202270507812, 3812.68115234375)"
"(537.7057495117188, 3811.46044921875)"
"(1136.8831787109375, 3810.482177734375)"
"(1308.7962646484375, 3804.58984375)"
"(3460.726318359375, 3801.0283203125)"
"(1108.523193359375, 3802.089111328125)"
"(695.031982421875, 3799.138427734375)"
"(719.8970947265625, 3804.078369140625)"
"(897.7947998046875, 3797.147216796875)"
"(644.3593139648438, 3793.820556640625)"
"(465.15142822265625, 3793.9697265625)"
"(1283.4111328125, 3792.531982421875)"
"(856.4298095703125, 3791.06689453125)"
"(619.6996459960938, 3790.088623046875)"
"(1234.2811279296875, 3784.5712890625)"
"(1009.3685913085938, 3780.473388671875)"
"(567.9036865234375, 3780.989990234375)"
"(1352.1536865234375, 3778.44873046875)"
"(1212.524658203125, 3780.209228515625)"
"(391.5299987792969, 3777.866943359375)"
"(549.83935546875, 3772.338623046875)"
"(1319.3944091796875, 3770.882080078125)"
"(981.6334838867188, 3772.98828125)"
"(524.9517822265625, 3769.0068359375)"
"(776.1458129882812, 3770.015625)"
"(340.2124328613281, 3765.87939453125)"
"(106.04560852050781, 3765.26171875)"
"(1292.7587890625, 3763.721923828125)"
"(496.2781066894531, 3761.8447265625)"
"(3228.2333984375, 3762.85546875)"
"(1141.097412109375, 3762.29150390625)"
"(1114.3961181640625, 3758.79833984375)"
"(700.6681518554688, 3761.724853515625)"
