keypoints
"(3552.945068359375, 3988.634521484375)"
"(2979.368896484375, 3987.808349609375)"
"(3914.125732421875, 3983.308349609375)"
"(2539.268798828125, 3988.26171875)"
"(4238.53076171875, 3985.962890625)"
"(3713.618408203125, 3982.653564453125)"
"(2500.966552734375, 3981.077880859375)"
"(3634.138916015625, 3971.85009765625)"
"(5808.1708984375, 3968.934814453125)"
"(4363.75732421875, 3967.292236328125)"
"(3552.883544921875, 3963.947998046875)"
"(2583.04541015625, 3966.13037109375)"
"(2544.2998046875, 3955.78076171875)"
"(303.8686218261719, 3952.758544921875)"
"(3392.933837890625, 3947.965087890625)"
"(3679.52587890625, 3947.7626953125)"
"(5809.380859375, 3944.35107421875)"
"(3632.963623046875, 3945.805908203125)"
"(2861.572021484375, 3941.42041015625)"
"(4365.0615234375, 3940.049072265625)"
"(4734.73193359375, 3932.340087890625)"
"(3525.87158203125, 3934.09375)"
"(3314.798828125, 3934.9462890625)"
"(2546.510498046875, 3928.644775390625)"
"(4691.7060546875, 3924.23046875)"
"(3920.96484375, 3926.37548828125)"
"(3438.765869140625, 3922.892822265625)"
"(5310.1826171875, 3920.709716796875)"
"(2510.094482421875, 3921.320556640625)"
"(2668.16357421875, 3914.18896484375)"
"(3154.72802734375, 3913.455322265625)"
"(3559.565185546875, 3910.94482421875)"
"(2866.208251953125, 3909.563720703125)"
"(2432.506591796875, 3907.15087890625)"
"(3924.778564453125, 3902.69677734375)"
"(2393.740234375, 3900.208251953125)"
"(4456.83837890625, 3894.421630859375)"
"(3643.569091796875, 3893.10595703125)"
"(2512.860595703125, 3889.8935546875)"
"(5440.13427734375, 3887.84423828125)"
"(4375.71533203125, 3885.138916015625)"
"(3358.738525390625, 3887.29345703125)"
"(2909.34814453125, 3885.786865234375)"
"(3564.004150390625, 3886.71533203125)"
"(3158.744384765625, 3884.34228515625)"
"(2671.21826171875, 3882.826171875)"
"(4330.94775390625, 3881.368408203125)"
"(4737.298828125, 3878.77783203125)"
"(2866.7548828125, 3881.337890625)"
"(2830.67578125, 3872.78076171875)"
"(4457.40673828125, 3869.9609375)"
"(2557.866943359375, 3867.119140625)"
"(2911.142822265625, 3857.838623046875)"
"(4576.58349609375, 3855.800048828125)"
"(3163.098388671875, 3855.416748046875)"
"(3977.498291015625, 3846.6044921875)"
"(3853.63427734375, 3842.03564453125)"
"(2542.56982421875, 3842.11181640625)"
"(3284.238037109375, 3841.154052734375)"
"(4459.357421875, 3838.6962890625)"
"(2657.548095703125, 3837.705810546875)"
"(2561.52685546875, 3835.849609375)"
"(4415.5361328125, 3834.4833984375)"
