keypoints
"(4811.67578125, 3986.9912109375)"
"(1757.0626220703125, 3993.76220703125)"
"(4485.31982421875, 3991.231201171875)"
"(4236.30517578125, 3989.70458984375)"
"(3139.228515625, 3991.298095703125)"
"(2912.570556640625, 3989.638671875)"
"(5434.2607421875, 3984.6455078125)"
"(4638.06005859375, 3986.496826171875)"
"(3777.099609375, 3992.495361328125)"
"(879.94482421875, 3989.4853515625)"
"(4767.59423828125, 3989.674072265625)"
"(1645.9754638671875, 3986.751220703125)"
"(839.7353515625, 3985.873779296875)"
"(1577.3343505859375, 3985.572509765625)"
"(5309.92431640625, 3985.373291015625)"
"(3955.729248046875, 3985.6806640625)"
"(5176.765625, 3984.44580078125)"
"(4972.373046875, 3982.23583984375)"
"(4783.990234375, 3979.902099609375)"
"(1332.8721923828125, 3977.58740234375)"
"(335.2801208496094, 3979.1103515625)"
"(4852.28076171875, 3985.49951171875)"
"(4660.67529296875, 3979.92333984375)"
"(812.0980224609375, 3978.693359375)"
"(680.0643310546875, 3979.810791015625)"
"(5402.48291015625, 3976.329345703125)"
"(4324.9365234375, 3973.42138671875)"
"(3847.55419921875, 3979.522705078125)"
"(3223.958740234375, 3982.34619140625)"
"(3001.831787109375, 3977.65380859375)"
"(4096.3935546875, 3977.1318359375)"
"(257.0083923339844, 3971.69580078125)"
"(4673.568359375, 3971.871337890625)"
"(4160.7919921875, 3972.913330078125)"
"(3318.24853515625, 3972.137939453125)"
"(1765.0350341796875, 3968.818115234375)"
"(789.65869140625, 3976.457763671875)"
"(4929.919921875, 3973.0478515625)"
"(3779.400390625, 3961.99462890625)"
"(471.22900390625, 3972.862548828125)"
"(4865.107421875, 3971.3525390625)"
"(3993.81884765625, 3976.082275390625)"
"(1611.8438720703125, 3972.682861328125)"
"(1438.2041015625, 3969.800048828125)"
"(2960.963623046875, 3975.37841796875)"
"(1531.21630859375, 3968.390869140625)"
"(4526.50634765625, 3970.2646484375)"
"(4281.7646484375, 3969.948486328125)"
"(1683.807373046875, 3970.2724609375)"
"(4892.771484375, 3966.376953125)"
"(5276.0869140625, 3967.17236328125)"
"(693.8681640625, 3965.52392578125)"
"(4242.55908203125, 3968.51025390625)"
"(3050.31591796875, 3966.799560546875)"
"(933.9744262695312, 3967.694091796875)"
"(744.6840209960938, 3965.5029296875)"
"(473.4588317871094, 3964.640380859375)"
"(4649.12646484375, 3962.2802734375)"
"(4619.43994140625, 3964.00439453125)"
"(4123.06591796875, 3964.711181640625)"
"(5059.439453125, 3962.725830078125)"
"(4771.7587890625, 3962.8447265625)"
"(4524.84619140625, 3960.171630859375)"
"(4489.98388671875, 3963.755859375)"
"(3858.2529296875, 3959.785400390625)"
"(3150.587158203125, 3960.639892578125)"
"(3264.421630859375, 3957.865478515625)"
"(1063.6412353515625, 3959.93994140625)"
"(1574.503173828125, 3958.190673828125)"
"(719.5084228515625, 3958.69384765625)"
"(5026.0400390625, 3964.836669921875)"
"(3987.649169921875, 3954.558837890625)"
"(4605.0419921875, 3955.713134765625)"
"(1729.221435546875, 3951.03564453125)"
"(1012.3982543945312, 3953.308349609375)"
"(872.5196533203125, 3952.425537109375)"
"(5564.8076171875, 3951.78759765625)"
"(4858.1767578125, 3951.221923828125)"
"(4441.41650390625, 3956.86279296875)"
"(5034.38720703125, 3950.69775390625)"
"(697.1949462890625, 3950.94677734375)"
"(4044.88330078125, 3951.001953125)"
"(3003.347412109375, 3952.6748046875)"
"(846.5186157226562, 3950.87646484375)"
"(4987.25048828125, 3949.89111328125)"
"(4397.24365234375, 3950.609619140625)"
"(1357.434814453125, 3945.865234375)"
"(4288.427734375, 3945.626953125)"
"(3116.89111328125, 3948.679931640625)"
"(677.0455932617188, 3946.537109375)"
"(4006.4365234375, 3946.135498046875)"
"(1618.9412841796875, 3942.60107421875)"
"(1163.6468505859375, 3948.37158203125)"
"(4410.10205078125, 3947.861328125)"
"(2968.052978515625, 3944.74658203125)"
"(852.99658203125, 3941.96435546875)"
"(4532.16455078125, 3942.413818359375)"
"(4126.6171875, 3943.50927734375)"
"(823.8235473632812, 3943.402099609375)"
"(4817.9404296875, 3942.24267578125)"
"(1700.09130859375, 3942.76904296875)"
"(3851.21142578125, 3940.648193359375)"
"(1405.695556640625, 3938.72998046875)"
"(800.8128662109375, 3937.151611328125)"
"(524.3064575195312, 3939.28271484375)"
"(4776.59521484375, 3938.26416015625)"
"(4496.92431640625, 3937.025390625)"
"(3966.346923828125, 3937.32373046875)"
"(4365.34326171875, 3938.1494140625)"
"(3412.395263671875, 3933.17529296875)"
"(4795.72705078125, 3935.022216796875)"
"(3090.751953125, 3939.085693359375)"
"(476.1060791015625, 3933.927001953125)"
"(1450.701904296875, 3927.093994140625)"
"(624.8976440429688, 3932.866943359375)"
"(2801.6650390625, 3929.531005859375)"
"(1333.3909912109375, 3941.140380859375)"
"(5821.16259765625, 3928.6865234375)"
"(4908.12548828125, 3928.83251953125)"
"(4614.7412109375, 3927.96533203125)"
"(4096.47802734375, 3929.229736328125)"
"(1306.546142578125, 3927.905029296875)"
"(4327.2109375, 3929.5341796875)"
"(4145.70166015625, 3927.510986328125)"
"(3273.499267578125, 3929.717041015625)"
"(4053.465087890625, 3927.196044921875)"
"(938.3321533203125, 3928.7919921875)"
"(3767.655029296875, 3930.047607421875)"
"(1415.6177978515625, 3925.553955078125)"
"(1276.59423828125, 3924.9921875)"
"(5069.501953125, 3926.65185546875)"
"(4583.90966796875, 3923.12744140625)"
"(3311.65234375, 3929.224853515625)"
"(2781.195068359375, 3924.40185546875)"
"(4170.193359375, 3922.970703125)"
"(4201.39794921875, 3923.437255859375)"
"(918.7555541992188, 3923.655517578125)"
"(756.4021606445312, 3925.581298828125)"
"(4696.4404296875, 3922.16357421875)"
"(4291.6103515625, 3921.54443359375)"
"(3940.363525390625, 3920.670654296875)"
"(1553.9376220703125, 3917.734619140625)"
"(705.6657104492188, 3922.67822265625)"
"(5279.40576171875, 3918.6455078125)"
"(2749.693359375, 3920.803955078125)"
"(4345.234375, 3913.714111328125)"
"(901.6065673828125, 3920.024658203125)"
"(1043.272705078125, 3917.281494140625)"
"(734.992431640625, 3918.61328125)"
"(4951.2080078125, 3917.780517578125)"
"(4572.78466796875, 3916.197021484375)"
"(3800.92529296875, 3918.44677734375)"
"(5028.9716796875, 3915.94091796875)"
"(1626.1171875, 3914.955810546875)"
"(2970.217041015625, 3911.52685546875)"
"(4730.55224609375, 3912.33203125)"
"(4659.39990234375, 3911.240478515625)"
"(1714.375244140625, 3911.210693359375)"
"(5872.6982421875, 3911.017578125)"
"(680.361328125, 3912.669189453125)"
"(4994.7939453125, 3911.3251953125)"
"(3201.520751953125, 3910.67529296875)"
"(1823.3189697265625, 3912.560791015625)"
"(1224.9974365234375, 3913.546630859375)"
"(1026.10009765625, 3910.512451171875)"
"(237.79495239257812, 3911.046630859375)"
"(4910.220703125, 3908.536376953125)"
"(4831.85009765625, 3907.053955078125)"
"(4621.0, 3906.48828125)"
"(4212.17578125, 3908.954833984375)"
"(3974.72119140625, 3908.13818359375)"
"(3095.30224609375, 3904.8994140625)"
"(1280.2572021484375, 3900.45849609375)"
